SNR_1,SNR_2,BLER
1,1,1
1,1.1,1
1,1.2,1
1,1.3,1
1,1.4,1
1,1.5,0.990196078431373
1,1.6,0.971153846153846
1,1.7,0.870689655172414
1,1.8,0.770992366412214
1,1.9,0.594117647058824
1,2,0.520618556701031
1,2.1,0.51010101010101
1,2.2,0.5
1,2.3,0.5
1,2.4,0.5
1,2.5,0.5
1.1,1,1
1.1,1.1,1
1.1,1.2,1
1.1,1.3,1
1.1,1.4,1
1.1,1.5,1
1.1,1.6,0.935185185185185
1.1,1.7,0.901785714285714
1.1,1.8,0.701388888888889
1.1,1.9,0.561111111111111
1.1,2,0.531578947368421
1.1,2.1,0.5
1.1,2.2,0.5
1.1,2.3,0.5
1.1,2.4,0.5
1.1,2.5,0.5
1.2,1,1
1.2,1.1,1
1.2,1.2,1
1.2,1.3,1
1.2,1.4,1
1.2,1.5,1
1.2,1.6,0.94392523364486
1.2,1.7,0.926605504587156
1.2,1.8,0.753731343283582
1.2,1.9,0.567415730337079
1.2,2,0.51530612244898
1.2,2.1,0.5
1.2,2.2,0.5
1.2,2.3,0.5
1.2,2.4,0.5
1.2,2.5,0.5
1.3,1,1
1.3,1.1,1
1.3,1.2,1
1.3,1.3,0.990196078431373
1.3,1.4,1
1.3,1.5,1
1.3,1.6,0.94392523364486
1.3,1.7,0.808
1.3,1.8,0.753731343283582
1.3,1.9,0.580459770114943
1.3,2,0.51530612244898
1.3,2.1,0.5
1.3,2.2,0.5
1.3,2.3,0.5
1.3,2.4,0.5
1.3,2.5,0.5
1.4,1,1
1.4,1.1,1
1.4,1.2,1
1.4,1.3,1
1.4,1.4,1
1.4,1.5,0.990196078431373
1.4,1.6,0.952830188679245
1.4,1.7,0.878260869565217
1.4,1.8,0.677852348993289
1.4,1.9,0.615853658536585
1.4,2,0.531578947368421
1.4,2.1,0.505
1.4,2.2,0.495098039215686
1.4,2.3,0.5
1.4,2.4,0.5
1.4,2.5,0.5
1.5,1,0.990196078431373
1.5,1.1,1
1.5,1.2,0.990196078431373
1.5,1.3,1
