SNR_1,SNR_2,BLER
-3,-3,1
-3,-2,1
-3,-1,0.990196078431373
-3,0,0.94392523364486
-3,1,0.870689655172414
-3,2,0.726618705035971
-3,3,0.612121212121212
-3,4,0.543010752688172
-3,5,0.523316062176166
-3,6,0.413934426229508
-3,7,0.407258064516129
-3,8,0.379699248120301
-3,9,0.358156028368794
-3,10,0.347079037800687
-3,11,0.337792642140468
-2,-3,0.990196078431373
-2,-2,1
-2,-1,0.980582524271845
-2,0,0.952830188679245
-2,1,0.870689655172414
-2,2,0.814516129032258
-2,3,0.721428571428571
-2,4,0.604790419161677
-2,5,0.51010101010101
-2,6,0.422594142259414
-2,7,0.381132075471698
-2,8,0.37546468401487
-2,9,0.358156028368794
-2,10,0.335548172757475
-2,11,0.335548172757475
-1,-3,0.980582524271845
-1,-2,0.990196078431373
-1,-1,1
-1,0,0.926605504587156
-1,1,0.870689655172414
-1,2,0.748148148148148
-1,3,0.677852348993289
-1,4,0.534391534391534
-1,5,0.450892857142857
-1,6,0.392996108949416
-1,7,0.372693726937269
-1,8,0.35191637630662
-1,9,0.34006734006734
-1,10,0.336666666666667
-1,11,0.343537414965986
0,-3,0.94392523364486
0,-2,0.952830188679245
0,-1,0.971153846153846
0,0,0.863247863247863
0,1,0.885964912280702
0,2,0.776923076923077
0,3,0.590643274853801
0,4,0.5
0,5,0.459090909090909
0,6,0.379699248120301
0,7,0.372693726937269
0,8,0.316614420062696
0,9,0.331147540983607
0,10,0.317610062893082
0,11,0.302395209580838
1,-3,0.855932203389831
1,-2,0.885964912280702
1,-1,0.893805309734513
1,0,0.814516129032258
1,1,0.776923076923077
1,2,0.737226277372263
1,3,0.531578947368421
1,4,0.495098039215686
1,5,0.405622489959839
1,6,0.354385964912281
1,7,0.316614420062696
1,8,0.282122905027933
1,9,0.27445652173913
1,10,0.254408060453401
1,11,0.286931818181818
2,-3,0.808
2,-2,0.759398496240602
2,-1,0.827868852459016
2,0,0.759398496240602
2,1,0.753731343283582
2,2,0.564245810055866
2,3,0.444933920704846
2,4,0.36996336996337
2,5,0.297935103244838
2,6,0.279778393351801
2,7,0.221006564551422
2,8,0.243961352657005
2,9,0.211740041928721
2,10,0.223451327433628
2,11,0.202404809619238
3,-3,0.63125
3,-2,0.706293706293706
3,-1,0.639240506329114
3,0,0.660130718954248
3,1,0.543010752688172
3,2,0.446902654867257
3,3,0.415637860082305
3,4,0.293604651162791
3,5,0.232718894009217
3,6,0.184643510054845
3,7,0.178130511463845
3,8,0.138927097661623
3,9,0.144906743185079
3,10,0.135570469798658
3,11,0.112271540469974
4,-3,0.548913043478261
4,-2,0.561111111111111
4,-1,0.528795811518325
4,0,0.51010101010101
4,1,0.495098039215686
4,2,0.368613138686131
4,3,0.254408060453401
4,4,0.222466960352423
4,5,0.161858974358974
4,6,0.116448326055313
4,7,0.0922865013774105
4,8,0.0917431192660551
4,9,0.073738680465718
4,10,0.0786802030456853
4,11,0.0869565217391304
5,-3,0.457013574660633
5,-2,0.476415094339623
5,-1,0.465437788018433
5,0,0.51010101010101
5,1,0.371323529411765
5,2,0.330065359477124
5,3,0.212631578947368
5,4,0.168896321070234
5,5,0.0922190201729107
5,6,0.0655737704918033
5,7,0.0642570281124498
5,8,0.0488431876606684
5,9,0.0546583850931677
5,10,0.0432692307692308
5,11,0.0485436893203883
6,-3,0.448888888888889
6,-2,0.413934426229508
6,-1,0.392996108949416
6,0,0.412244897959184
6,1,0.323717948717949
6,2,0.270053475935829
6,3,0.171477079796265
6,4,0.112081513828239
6,5,0.0783783783783784
6,6,0.0426908150064683
6,7,0.0380835380835381
6,8,0.0423412204234122
6,9,0.0247641509433962
6,10,0.0185830429732869
6,11,0.03125
7,-3,0.407258064516129
7,-2,0.378277153558052
7,-1,0.392996108949416
7,0,0.385496183206107
7,1,0.335548172757475
7,2,0.218614718614719
7,3,0.169463087248322
7,4,0.105702364394993
7,5,0.0662251655629139
7,6,0.0401002506265664
7,7,0.025089605734767
7,8,0.0184331797235023
7,9,0.0162224797219003
7,10,0.0166112956810631
7,11,0.008859357696567
8,-3,0.371323529411765
8,-2,0.354385964912281
8,-1,0.374074074074074
8,0,0.345890410958904
8,1,0.291066282420749
8,2,0.231121281464531
8,3,0.160828025477707
8,4,0.10857908847185
8,5,0.0353089533417402
8,6,0.0323353293413174
8,7,0.00807381776239908
8,8,0.0146067415730337
8,9,0.00543478260869565
8,10,0.0142700329308452
8,11,0.00747065101387407
9,-3,0.350694444444444
9,-2,0.359430604982206
9,-1,0.347079037800687
9,0,0.302395209580838
9,1,0.289398280802292
9,2,0.217672413793103
9,3,0.167495854063018
9,4,0.0872395833333333
9,5,0.0349397590361446
9,6,0.0401459854014599
9,7,0.018161180476731
9,8,0.0141766630316249
9,9,0.00871459694989107
9,10,0.00316455696202532
9,11,0.00318471337579618
10,-3,0.348275862068965
10,-2,0.348275862068965
10,-1,0.342372881355932
10,0,0.331147540983607
10,1,0.291907514450867
10,2,0.223451327433628
